order_number,customer_name,customer_phone,date,total,payment_status,order_status
6SET-20260822-DFJN,Trevor Simon,0754657655,2026-08-22T15:16:08.40559+00:00,4500,Pending,Awaiting Payment
6SET-20260822-G3SJ,Trevor Simon,0115507150,2026-08-22T15:10:07.933794+00:00,4500,Pending,Awaiting Payment
6SET-20260822-9AZN,Trevor Simon,0754657655,2026-08-22T14:59:20.580877+00:00,4500,Pending,Awaiting Payment
6SET-20260822-5YOU,Trevor Simon,0115507150,2026-08-22T14:54:52.704163+00:00,4500,Pending,Awaiting Payment
6SET-20260822-GZ6Q,Trevor Simon,0712345678,2026-08-22T14:49:12.711624+00:00,4500,Pending,Awaiting Payment
6SET-20260822-Z1UL,TESTING GUY 8,0115507150,2026-08-22T12:52:05.243079+00:00,4500,Pending,Awaiting Payment
6SET-20260822-2LHS,TESTING GUY 8,0115507150,2026-08-22T12:21:24.056156+00:00,4500,Pending,Awaiting Payment
6SET-20260822-XSIT,TESTING GUY 8,0115507150,2026-08-22T12:17:37.834308+00:00,4500,Pending,Awaiting Payment
6SET-20260822-EAA0,TESTING GUY 10,0744345767,2026-08-22T10:02:38.997125+00:00,4000,Payment Verified,Completed
6SET-20260821-7MFH,TESTING GUY 9,0115507150,2026-08-21T16:08:22.337852+00:00,2500,Payment Submitted,Payment Submitted
6SET-20260821-S3FV,TESTING GUY 8,0115507100,2026-08-21T16:03:10.000593+00:00,6000,Payment Submitted,Payment Submitted
6S-1787317522443-6728,TESTING GUY 6,0712345620,2026-08-21T13:05:22.991726+00:00,2500,Pending,Awaiting Payment
6S-1787303407676-3148,TESTING GUY 5,0712345610,2026-08-21T09:10:07.473937+00:00,2500,Payment Verified,Confirmed
6S-1787302470259-6761,TESTING GUY 4,0712345679,2026-08-21T08:54:30.057693+00:00,2500,Payment Submitted,Payment Submitted
6S-1787261852799-6480,TESTING GUY 3,0712345679,2026-08-20T21:37:32.995642+00:00,5000,Payment Verified,Confirmed
6S-1787253273467-3575,TESTING GUY 2,0712345678,2026-08-20T19:14:33.314738+00:00,1000,Payment Verified,Confirmed
6S-1787252500366-8400,TESTING GUY,0712345678,2026-08-20T19:01:40.146655+00:00,1000,Payment Submitted,Payment Submitted
6S-1787248907854-9678,Trevor Simon,0754657655,2026-08-20T18:01:47.775018+00:00,4500,Pending,Awaiting Payment
6S-1787239961814-2826,qwerty ghtyf,0115507149,2026-08-20T15:32:41.19722+00:00,4000,Payment Verified,Cancelled
6S-1787239445843-9911,Klaus Michaelson,0722489382,2026-08-20T15:24:05.240356+00:00,4000,Pending,Awaiting Payment
6S-1787237112731-9743,Charlene Muriuki,0720304947,2026-08-20T14:45:12.031553+00:00,4000,Payment Verified,Completed
6S-1787234139237-4830,Trevor Simon,0754657658,2026-08-20T13:55:38.43627+00:00,9000,Payment Rejected,Awaiting Payment
6S-1787233094007-2897,s.kdajc.k,0736523652,2026-08-20T13:38:13.144809+00:00,9000,Payment Verified,Ready for Delivery
6S-1787233019257-8687,Tabby Njoki,0735248574,2026-08-20T13:36:58.430078+00:00,16500,Payment Verified,Confirmed
6S-1787232973077-3318,tabby Njoki,0754657655,2026-08-20T13:36:12.220821+00:00,16500,Pending,Awaiting Payment
6S-1787230538768-7161,Trevor Simon,0754657655,2026-08-20T12:55:37.913302+00:00,13500,Payment Verified,Confirmed
6S-1787215947415-6598,Trevor Simon,0754657645,2026-08-20T08:52:29.204862+00:00,7500,Payment Verified,Confirmed
6S-1787183305684-6229,Trevor Simon,0754657657,2026-08-19T23:48:26.58612+00:00,5000,Payment Rejected,Awaiting Payment
